goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkStrings-16            	  498927	      2368 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  501303	      2301 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  502035	      2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  491408	      2294 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498716	      2312 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  490006	      2295 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  501898	      2333 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  457800	      2344 ns/op	       1 B/op	       0 allocs/op
BenchmarkStrings-16            	  493561	      2342 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  492328	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  498464	      2298 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  496702	      2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  518061	      2291 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringsRef-16         	    4681	    239448 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4716	    240815 ns/op	  160102 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4771	    251770 ns/op	  160101 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4363	    247683 ns/op	  160110 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4670	    248062 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4677	    249306 ns/op	  160103 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4648	    259180 ns/op	  160104 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4471	    249240 ns/op	  160108 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    4545	    249138 ns/op	  160106 B/op	   10004 allocs/op
